,title,Date,comment
0,,"AMZNThursday, October 1st 2020","Amazon Music partners with Universal Music, Warner Music on Ultra HD remasters"
0,,"PTON, AMZNTuesday, September 22nd 2020","Amazon to expand tech hubs, corporate offices, adding 3,500 jobs"
0,,"MSFT, TWLO, WORKTuesday, September 22nd 2020","Amazon hires former Yahoo, Slack privacy head for Alexa effort - BI"
0,,"AMZN, WMT, TGT, UPS, FDXWednesday, September 16th 2020","Amazon's latest job spree: Another 100,000 workers"
0,,"AMZNWednesday, August 26th 2020",Amazon targeted by German antitrust probe
0,,"AMZN, WMT, KR, ACIThursday, August 27th 2020","Amazon orders 1,800 Mercedes electric vans for European deliveries"
0,,"AMZN, SHYFFriday, July 10th 2020",Medigus buys two online retailers to enter Amazon Marketplace
0,,"AMZNSunday, September 6th 2020","Amazon roundup: Indian pharmacy launch, AWS offers quantum simulations"
0,,"XAGUSD:CURMonday, July 20th 2020","NY, California AGs join FTC's Amazon probe - Bloomberg"
0,,"DDOGWednesday, June 17th 2020",Amazon tells employees to delete TikTok (update)
0,,"AMZNTuesday, June 30th 2020",Reed's pops after Amazon distribution deal
0,,"AMZNMonday, June 29th 2020",Amazon spending over $500M on worker bonuses
0,,"AMZN, GOOGL, GM, TSLA, UBERFriday, June 26th 2020",Amazon establishes new aerospace cloud unit
0,,"AMZNThursday, June 18th 2020","Global Payments, Amazon Web Services in multi-year collaboration pact"
0,,"AMZN, GOOG, GOOGL, AAPL, FBWednesday, July 29th 2020","ViacomCBS appoints Amazon, Pandora vet as CFO"
0,,"AMZNWednesday, July 8th 2020",Amazon to start using Mastercard tokens in 12 countries
0,,"AMZNFriday, May 1st 2020",Can things go wrong at Amazon?
0,,"AMZNMonday, March 30th 2020",Walmart takes on Amazon with $98/year delivery service - Recode
0,,"GLUCWednesday, July 8th 2020",Amazon reopens nonessential shipments - WSJ
0,,"PCG, BABA, JD, AMZN, BA, KHC, FThursday, August 6th 2020",Amazon signs its biggest lease ever - Business Insider
0,,"AMZNWednesday, April 8th 2020",Amazon scales back deliveries near protests
0,,"AMZN, INTC, T, BRK.A, BRK.BTuesday, July 28th 2020",Okta integrates with Amazon Web Services to improve security
0,,"FB, AMZN, WMTSunday, May 24th 2020",Amazon launches new Fire HD 8 tablets
0,,"AMZNThursday, April 23rd 2020","Amazon EPS beats by $8.80, beats on revenue, AWS revenue falls short"
0,,"AMZNSunday, April 19th 2020",Amazon +5.7% as analysts lift price targets on standout Q2
0,,"AMZNMonday, April 6th 2020",Senators question Amazon over strike leader firing
0,,"AMZNMonday, January 27th 2020",Amazon wants price-gouging law; extends pay raise
0,,"AMZNTuesday, March 24th 2020",Amazon Music passes 55M customers
0,,"AMZN, FBTuesday, March 17th 2020",Amazon uses seller data for private-label dupes - WSJ
0,,"AMZNMonday, March 9th 2020",Nike breaks up with Amazon
0,,"AMZNFriday, April 17th 2020",Edward Jones joins bull party on Amazon
0,,"AMZNMonday, March 9th 2020",Amazon Pharmacy debuts branding
0,,"AMZN, MSFTWednesday, April 15th 2020",Goldman Sachs expands consumer reach with purchase of GM's credit card business
0,,"AMZNMonday, April 6th 2020",Amazon wants to depose Trump in JEDI challenge
0,,"CRM, AMZN, RNGTuesday, November 19th 2019","Google, Amazon tell more workers to stay home"
0,,"DLRThursday, October 1st 2020",Benchmark raises Amazon on one-day shipping
0,,"AMZN, WMTWednesday, October 30th 2019",Amazon pilots Care clinics
0,,"AMZN, GOOG, GOOGL, AAPLThursday, February 13th 2020",Amazon asks court to pause work on JEDI
0,,"AMZNMonday, January 6th 2020",Amazon seeks to block JEDI work by Microsoft
0,,"AMZN, APOWednesday, December 18th 2019",Amazon outlines record holiday shopping season
0,,"AMZN, INTC, AMDTuesday, December 3rd 2019",Amazon on-time deliveries fell Cyber Monday week
0,,"AMZNFriday, December 13th 2019","Nasdaq rallies, but stocks can't shake stimulus chatter"
0,,"AMZNTuesday, March 3rd 2020",Amazon target lowered on 'stubbornly high' consensus
0,,"AMZN, MSFTThursday, November 14th 2019","HBO tops Netflix, Amazon at the Emmys"
0,,"AMZNWednesday, July 24th 2019",Amazon pushes forward with new grocery brand
0,,"AMZNFriday, November 15th 2019",Amazon Fresh now free for Prime members
0,,"AMZNMonday, October 21st 2019",Amazon refutes medical purchase cuts
0,,"AMZN, BRK.A, BRK.BFriday, May 3rd 2019","Amazon, UPS testing cargo bikes in NYC"
0,,"AMZNMonday, July 15th 2019",EU watchdog investigating Amazon's Deliveroo funding
0,,"AMZNTuesday, October 1st 2019",Amazon begins to market PillPack
0,,"AMZN, DISThursday, November 7th 2019",Amazon brands not dominating as feared
0,,"AMZNWednesday, May 8th 2019",Amazon adds flights to Indian Pay
0,,"CUZ, AMZNThursday, September 19th 2019",F5 sets strategic partnership with Amazon Web Services
0,,"AMZN, UBERTuesday, April 30th 2019",Kohl's seen catching Amazon boost
0,,"AMZNTuesday, September 3rd 2019",EU opens antitrust probe against Amazon
0,,"AMZNFriday, January 11th 2019",Nike sees Foot Locker as better partner than Amazon
0,,"IAC, AMZNTuesday, May 21st 2019",Realogy skies 35% after launching TurnKey with Amazon
0,,"AMZNThursday, April 4th 2019",Amazon shadow over FedEx and UPS
0,,"AMZNFriday, July 19th 2019","Amazon working on high-end Echo, robot - Bloomberg"
0,,"AMZNFriday, December 6th 2019",Amazon looks at acquiring Uber Eats India
0,,"AMZNThursday, November 1st 2018",Amazon will overtake MELI in Mexico - HSBC
0,,"AMZNMonday, May 13th 2019",Amazon scaling back Channels - The Information
0,,"AMZNFriday, February 8th 2019",Bull predicts Amazon's one-day shipping boost
0,,"AMZNMonday, December 31st 2018",Amazon mattresses out in the wild
0,,"AMZN, BYYLFThursday, January 10th 2019",Tragedy at Amazon warehouse in Baltimore
0,,"AMZNMonday, February 25th 2019",Amazon's ad change benefits RAMP - analyst
0,,"AMZN, INTCTuesday, December 11th 2018",Amazon investigates employees bribes
0,,"AMZNWednesday, June 5th 2019",Stein Mart rockets on Amazon lockers deal
0,,"AMZNThursday, December 6th 2018",Amazon pushes hard in online ads
0,,"AMZNFriday, November 16th 2018",Hooker Furniture brands spotted on Amazon
0,,"AAPL, AMZNFriday, November 30th 2018","WPP survey names Amazon, Alibaba most valuable"
0,,"AMZN, FDX, UPSWednesday, April 3rd 2019",Amazon Go stores will accept cash - CNBC
0,,"GOOG, GOOGL, AMZNTuesday, June 11th 2019",Amazon launches Shark Tank store
0,,"AMZNWednesday, April 25th 2018",Amazon cutting Whole Foods prices - WSJ
0,,"FRT, SPG, PEI, MAC, CBL, WPG, KIM, EPR...Tuesday, March 5th 2019",Amazon competitor embraces AWS
0,,"AMZNSunday, March 17th 2019",Trade Desk +7.8% on Amazon ad tie-up
0,,"AMZN, RAD, WBA, CAH, MCK, DPLOThursday, April 4th 2019",Amazon +1.6% as profit doubles
0,,"AMZN, SFIXTuesday, July 30th 2019",Amazon chooses head for pharma initiative - CNBC
0,,"AMZNWednesday, May 30th 2018",Amazon 'destroyed' U.S. retail - Mnuchin
0,,"AMZNThursday, January 10th 2019",Evercore raises Amazon on gross profit potential
0,,"RLGYTuesday, July 23rd 2019",Amazon Go seen as long-term winner
0,,"AMZN, MTHFriday, January 25th 2019",Amazon's ad business will take from Google - report
0,,"AMZNThursday, February 14th 2019",Amazon accelerator announces new startups
0,,"AMZNMonday, November 12th 2018","India won't delay policies hitting Amazon, Walmart"
0,,"AMZN, MELITuesday, January 22nd 2019",Amazon workers in NYC want to unionize (update)
0,,"AMZN, AVP, EL, NUACF, REV, MELI, ELFThursday, June 14th 2018",Amazon making a splash in apparel
0,,"AMZNFriday, December 14th 2018","Evercore lowers Amazon target, revenue estimates"
0,,"AMZNWednesday, April 25th 2018",Explaining Amazon's focus on Echo
0,,"AMZN, CSCOThursday, November 8th 2018",NovaBay launches NovaWipes eyelid wipes on Amazon.com; shares up 22% premarket
0,,"AMZNMonday, December 3rd 2018",Amazon planning grocery deliveries in France
0,,"KO, PEP, DPS-OLD, MDLZ, PG, KMB, CL, K...Monday, November 13th 2017",Retail sector outperforms with Amazon in retreat
0,,"AMZNThursday, November 2nd 2017",Amazon adjusts pay hike to cover lost bonuses
0,,"WMT, AMZNMonday, November 27th 2017",GrubHub +1.8% on Hedgeye's Amazon M&A suggestion
0,,"AMZNThursday, October 11th 2018",Amazon plans to expand Whole Foods reach
0,,"AMZN, BACThursday, February 15th 2018","Stocks resume selloff as Amazon, Alphabet weigh heavily"
0,,"AMZNWednesday, September 26th 2018",EU regulators looking into Amazon's use of merchant data
0,,"AMZN, MAT, HASMonday, December 10th 2018","Amazon Key comes to Ring, garages, businesses"
0,,"AMZNWednesday, August 22nd 2018","""Project Runway"" stars Klum, Gunn head to Amazon"
0,,"JBGS, AMZNWednesday, April 3rd 2019",Amazon reports low UK tax bill
0,,"SRTWednesday, January 24th 2018",Online retail jolted by Amazon small business play
0,,"AMZNFriday, July 21st 2017",Walmart launches Amazon Key rival service
0,,"AMZNSaturday, November 4th 2017","Amazon, Microsoft tie-up comes to public preview"
0,,"AMZNFriday, June 29th 2018",Amazon expands Whole Foods delivery program
0,,"AMZN, NTGR, UI, GOOG, GOOGLMonday, February 11th 2019",Amazon Alexa gets voice recognition
0,,"AMZNWednesday, June 6th 2018",Kroger bypasses Amazon for cloud investing
0,,"SHOPTuesday, September 25th 2018",Amazon might have the OS of future retail
0,,"AMZNMonday, July 16th 2018",Amazon Go launch delayed
0,,"AMZNThursday, July 12th 2018","Walmart eyes challenging Netflix, Amazon in streaming"
