,Date,Title
0,2020-10-01,"Amazon Music partners with Universal Music, Warner Music on Ultra HD remasters"
1,2020-09-22,"Amazon to expand tech hubs, corporate offices, adding 3,500 jobs"
2,2020-09-22,"Amazon hires former Yahoo, Slack privacy head for Alexa effort - BI"
3,2020-09-16,"Amazon's latest job spree: Another 100,000 workers"
4,2020-08-26,Amazon targeted by German antitrust probe
5,2020-08-27,"Amazon orders 1,800 Mercedes electric vans for European deliveries"
6,2020-07-10,Medigus buys two online retailers to enter Amazon Marketplace
7,2020-09-06,"Amazon roundup: Indian pharmacy launch, AWS offers quantum simulations"
8,2020-07-20,"NY, California AGs join FTC's Amazon probe - Bloomberg"
9,2020-06-17,Amazon tells employees to delete TikTok (update)
10,2020-06-30,Reed's pops after Amazon distribution deal
11,2020-06-29,Amazon spending over $500M on worker bonuses
12,2020-06-26,Amazon establishes new aerospace cloud unit
13,2020-06-18,"Global Payments, Amazon Web Services in multi-year collaboration pact"
14,2020-07-29,"ViacomCBS appoints Amazon, Pandora vet as CFO"
15,2020-07-08,Amazon to start using Mastercard tokens in 12 countries
16,2020-05-01,Can things go wrong at Amazon?
17,2020-03-30,Walmart takes on Amazon with $98/year delivery service - Recode
18,2020-07-08,Amazon reopens nonessential shipments - WSJ
19,2020-08-06,Amazon signs its biggest lease ever - Business Insider
20,2020-04-08,Amazon scales back deliveries near protests
21,2020-07-28,Okta integrates with Amazon Web Services to improve security
22,2020-05-24,Amazon launches new Fire HD 8 tablets
23,2020-04-23,"Amazon EPS beats by $8.80, beats on revenue, AWS revenue falls short"
24,2020-04-19,Amazon +5.7% as analysts lift price targets on standout Q2
25,2020-04-06,Senators question Amazon over strike leader firing
26,2020-01-27,Amazon wants price-gouging law; extends pay raise
27,2020-03-24,Amazon Music passes 55M customers
28,2020-03-17,Amazon uses seller data for private-label dupes - WSJ
29,2020-03-09,Nike breaks up with Amazon
30,2020-04-17,Edward Jones joins bull party on Amazon
31,2020-03-09,Amazon Pharmacy debuts branding
32,2020-04-15,Goldman Sachs expands consumer reach with purchase of GM's credit card business
33,2020-04-06,Amazon wants to depose Trump in JEDI challenge
34,2019-11-19,"Google, Amazon tell more workers to stay home"
35,2020-10-01,Benchmark raises Amazon on one-day shipping
36,2019-10-30,Amazon pilots Care clinics
37,2020-02-13,Amazon asks court to pause work on JEDI
38,2020-01-06,Amazon seeks to block JEDI work by Microsoft
39,2019-12-18,Amazon outlines record holiday shopping season
40,2019-12-03,Amazon on-time deliveries fell Cyber Monday week
41,2019-12-13,"Nasdaq rallies, but stocks can't shake stimulus chatter"
42,2020-03-03,Amazon target lowered on 'stubbornly high' consensus
43,2019-11-14,"HBO tops Netflix, Amazon at the Emmys"
44,2019-07-24,Amazon pushes forward with new grocery brand
45,2019-11-15,Amazon Fresh now free for Prime members
46,2019-10-21,Amazon refutes medical purchase cuts
47,2019-05-03,"Amazon, UPS testing cargo bikes in NYC"
48,2019-07-15,EU watchdog investigating Amazon's Deliveroo funding
49,2019-10-01,Amazon begins to market PillPack
50,2019-11-07,Amazon brands not dominating as feared
51,2019-05-08,Amazon adds flights to Indian Pay
52,2019-09-19,F5 sets strategic partnership with Amazon Web Services
53,2019-04-30,Kohl's seen catching Amazon boost
54,2019-09-03,EU opens antitrust probe against Amazon
55,2019-01-11,Nike sees Foot Locker as better partner than Amazon
56,2019-05-21,Realogy skies 35% after launching TurnKey with Amazon
57,2019-04-04,Amazon shadow over FedEx and UPS
58,2019-07-19,"Amazon working on high-end Echo, robot - Bloomberg"
59,2019-12-06,Amazon looks at acquiring Uber Eats India
60,2018-11-01,Amazon will overtake MELI in Mexico - HSBC
61,2019-05-13,Amazon scaling back Channels - The Information
62,2019-02-08,Bull predicts Amazon's one-day shipping boost
63,2018-12-31,Amazon mattresses out in the wild
64,2019-01-10,Tragedy at Amazon warehouse in Baltimore
65,2019-02-25,Amazon's ad change benefits RAMP - analyst
66,2018-12-11,Amazon investigates employees bribes
67,2019-06-05,Stein Mart rockets on Amazon lockers deal
68,2018-12-06,Amazon pushes hard in online ads
69,2018-11-16,Hooker Furniture brands spotted on Amazon
70,2018-11-30,"WPP survey names Amazon, Alibaba most valuable"
71,2019-04-03,Amazon Go stores will accept cash - CNBC
72,2019-06-11,Amazon launches Shark Tank store
73,2018-04-25,Amazon cutting Whole Foods prices - WSJ
74,2019-03-05,Amazon competitor embraces AWS
75,2019-03-17,Trade Desk +7.8% on Amazon ad tie-up
76,2019-04-04,Amazon +1.6% as profit doubles
