,Date,Title
0,2020-10-01,Google pauses News Showcase launch in Australia over royalties spat
1,2020-09-25,Microsoft's Bing wins slots in Google's EU mobile search auction
2,2020-08-26,"Italy probes Apple, Google and Dropbox cloud storage services"
3,2020-08-21,"Facebook, Google withdraw FCC request for undersea cable to Hong Kong"
4,2020-08-04,"Samsung to make chips for Cisco, Google - report"
5,2020-07-14,Google-backed Amwell indicates to open at $20-$22 ....$24-$25....$25-$26
6,2020-08-05,Google pauses Hong Kong data requests
7,2020-07-30,Opera launches Opera for Business and partners with Google My Business
8,2020-06-25,"Google, UK sign memo of understanding on cloud services"
9,2020-04-29,Google ordered to pay French publishers
10,2020-04-23,Google in talks to acquire cloud firm D2iQ - Axios
11,2020-04-28,"Google, New York team on unemployment portal"
12,2020-05-08,Google building new offices in Canada
13,2020-03-06,Google acquires retail tech company
14,2020-02-21,"Google, state AGs settle on outside consultants - CNBC"
15,2020-01-03,"AT&T, Google team on 5G edge computing"
16,2019-12-12,"Google ramps up Video conference wars, making Meet free"
17,2020-03-11,Google delays the Android 11 Beta announcement amid U.S. protests
18,2020-02-21,Google Health now has more than 500 employees
19,2020-02-26,"The best performing equity ETFs in 2020 so far don't own Facebook, Amazon, , Apple and Microsoft"
20,2019-12-18,Genius sues Google for song lyric theft
21,2019-11-15,Google Search prioritizes original stories
22,2019-12-10,Senators ask Google to reclassify employees
23,2019-10-18,Google hires Microsoft vet to head G suite
24,2020-02-04,Google launches Shoelace social network
25,2019-09-27,Google hires former FDA head for healthcare
26,2020-02-27,"Google, Telecom Italia team on data centers"
27,2019-10-01,Google's music subscribers stall - WSJ
28,2019-08-13,Google researchers disclose Apple Safari's flaws
29,2019-12-03,Google launches Play Pass to rival Apple Arcade
30,2019-10-15,Russia warns Google on advertising after election protests
31,2019-07-21,"Google to acquire Elastifile, reportedly for $200M-$250M"
32,2019-01-03,Google deal to improve Cuba connectivity
33,2019-06-18,Google Shopping comes to India
34,2019-02-19,"Elastic, MongoDB gain on Google partnership"
35,2019-09-10,WSJ: Google didn't disclose spring Google Plus breach
36,2019-05-22,"Google Assistant, Pay coming to NYC transit"
37,2018-11-27,Google rolls out Google Jobs
38,2019-02-25,Google's cell service comes to iPhone
39,2019-04-15,Google roundup: Assistant's busy CES19
40,2018-11-08,Google's annual hardware event on tap
41,2019-02-20,Lyft hires Google engineer as AI head
42,2019-02-19,Google fights satellite operators on 5G spectrum - The Information
43,2019-06-01,Google Cloud taps SAP exec as sales head
44,2019-03-19,Amazon launching mobile ads challenging Google - Bloomberg
45,2018-12-17,Google CEO testifies for House committee (updates)
46,2019-01-02,Google CEO will testify to Congress next week
47,2019-03-27,"Oracle: Google ""fabricated concern"" in court petition"
48,2018-09-18,Link tax may shutter Google News in EU
49,2018-01-05,SunTrust weighs in on Google's Criteo impact
50,2019-01-28,Google confirms October 9 preorders for Pixel 3
51,2018-10-18,CNBC: Chinese company manufactures Google's Titan Key
52,2018-08-28,Arizona is investigating Google's location tracking practices
53,2018-08-30,Amwell expands partnership with Tyto Care
54,2018-07-19,"Report: HUD also probing Google, Twitter over ad discrimination"
55,2018-10-04,"Google Cloud disruptions hit Snapchat, Spotify"
56,2017-12-05,Now testing: Play Assassin's Creed in Google Chrome
57,2019-07-25,EU preparing next fine on Google
58,2019-02-01,Google will acquire enterprise cloud migration company
59,2019-04-08,Is Google Glass still alive?
60,2018-11-02,Google could launch an AirPod alternative
61,2018-05-02,London court blocks mass legal action against Google
62,2017-07-26,Latest news as Google prepares to re-enter China
63,2017-07-13,Google to demote apps with performance issues
64,2018-02-21,"Palantir direct listing reference price set at $7.25, Asana at $21"
65,2018-05-07,Google defeats conservative YouTube video lawsuit
66,2018-08-16,Google rolls out new ad muting features
67,2017-06-19,Report: Google to pay $2B for Chelsea Market building
68,2018-09-21,Google acquires Limes Audio
69,2018-10-01,WSJ: Google facing multibillion-euro fine from EU over Android
70,2017-11-20,"Google, KB Home team to put hardware in new homes"
71,2016-09-21,"NYT: Pentagon project causing ""existential crisis"" within Google"
72,2018-08-23,Google announces $1B job training and education grants
73,2018-10-18,Google reverses (part of) crypto ad ban
74,2020-09-14,Google's antitrust settlement offer includes a competitor auction
75,2017-09-19,Google weighs sale of satellite business
76,2017-09-11,Google investigating Pixel 2 XL screen issue
77,2018-09-19,"Amazon will resume selling Apple TV, Google Chromecast"
78,2018-02-27,The Information: Capital One switches from Microsoft to Google cloud products
79,2017-07-05,Cisco and Google announce hybrid cloud partnership
80,2018-09-18,Google apologizes over YouTube ads
81,2017-05-17,Publishers push back on Google's plan to share data consent duties
82,2018-04-30,Google plans $13B spree on U.S. data centers
83,2017-09-28,Nutanix -10% on report Google plans private cloud offering
84,2016-10-04,Google partners with CSRA; Assistant can now send money
85,2018-03-27,Google expands Instant play games; YouTube testing new feature
86,2016-04-20,Google Assistant gets routines; phone and carrier-specific actions coming soon
87,2017-06-28,"Google building three underwater cables to expand Cloud, compete with Amazon"
88,2020-09-18,Google plans 2017 release of second-generation Pixel
89,2017-08-22,"VMware plans to expand to Microsoft, Google cloud platforms"
90,2017-04-25,Google CEO to meet with European Commission in Brussels
91,2018-05-24,Bloomberg: Google in talks to buy Nokia's airborne broadband system (update)
92,2016-09-08,Alphabet's life sciences group moves into health insurance
93,2017-08-04,Google rejects EU on antitrust charges
94,2017-11-14,Google offering broad-scale display of election data
95,2016-08-15,Variety: Google hires Apple chip architect for Pixel phones
96,2017-06-22,Google Fiber gains ordinance approval in Nashville
97,2018-03-20,Google Glass gets a second chance
98,2016-07-07,"Bitcoin below $9,000 on Google's ad ban"
99,2017-10-06,EU set to hit Google with third antitrust charge
100,2017-07-20,"Google pays women less than men, says Labor Dept."
101,2017-06-27,Google's Titan Key gets general release; Trump sends mixed signals on regulation
102,2018-07-02,"Google saved $3.7B in taxes through Irish, Dutch tax structure"
103,2018-07-16,Google to push Congress about self-driving cars
104,2017-08-04,"Report: Google, Tencent, JD.com investing in Indonesian ride-hail"
105,2017-05-31,Google invests $4.5M on artificial intelligence research in Montreal
106,2015-12-23,Google Self-Driving Car Project records 2M miles
107,2018-07-17,Bernstein halts coverage on internet stocks after analyst defects to Google
108,2017-01-10,Google's appeal of $6.75M penalty in Russian antirust case rejected
109,2016-06-26,Google signs on to EU-U.S. Privacy Shield Framework
110,2016-09-20,EU announces antitrust charges against Google
111,2017-09-27,Internet/platform stocks rise on bullish initiation at KeyBanc
112,2017-09-19,Google updates Android Auto to display specialized interface directly on phones
113,2017-08-16,Report: Google plans to join Apple in giving developers better subscription terms
114,2016-04-29,Google selects HTC for new Nexus tablet
115,2016-10-21,New Google CFO lands mega pay package
116,2014-06-17,Google will let users stream games onto mobile search pages
117,2020-08-22,Google Pixel reviews overall positive ahead of release
118,2016-03-13,"BMO upgrades Google ahead of earnings, predicts multiple expansion"
119,2017-01-17,"New Google CEO Pichai names sales, advertising, and Android SVPs"
120,2017-06-14,Google Capital takes stake in Care.com
121,2016-02-03,Nasdaq futures buoyed by Google and Amazon
122,2017-06-23,Google up strongly after WSJ reports of spending/hiring curbs
123,2017-05-11,Google challenges Amazon with overnight delivery for NorCal
124,2017-01-27,Google recalls staff to U.S. after Trump immigration ban order
125,2020-08-20,"Google, Microsoft end phone/Xbox patent battle, agree to cooperate"
126,2014-04-03,Alphabet weighed taking minority stake in TikTok - Bloomberg
127,2016-04-21,Morgan Stanley pegs Google's Pixel revenue at $3.8B for 2017
128,2015-09-18,Baidu demos Google Glass rival
129,2013-09-18,"Apple hires former Google AI head; touchless controls, curved screens for iPhones"
130,2015-01-30,FAANG reversal and industrial lift may be another signal of renaissance for real economy
131,2015-12-01,Google implementing policy to limit ads on pages deemed to comprise false information
132,2016-04-07,J&J and Google team up in robotic surgery
133,2015-01-29,"Google forms new structure, names Pichai CEO of core business; shares rise (updated)"
134,2014-10-31,Google plans to open 12 data centers as part of its efforts to battle Amazon
135,2020-09-17,Google's DoubleClick tops ad quality rankings
136,2016-02-11,Google
137,2014-09-12,Apple's Spotlight search dumps Google in favor of Bing
138,2016-04-28,Google to unveil Android powered TV set
139,2016-03-16,Google launches platform for interacting with smart devices
140,2016-01-15,Report: Google in talks to buy Pandora rival Songza
141,2014-02-21,Blucora partly renews Google deal for three years
142,2014-01-06,Google
143,2014-04-08,eBay spikes over speculation on Google stake
144,2020-06-08,Reports: Google selling Motorola phone unit to Lenovo
145,2014-02-11,Google acquires popular mobile sharing app Bump
146,2017-08-24,"Report: Facebook, Google dominate social logins"
147,2013-10-17,Are all-time low rates the key to keeping megacap momentum going?
148,2020-09-17,DOJ's Apple probe focusing on App Store payment rules - Bloomberg
149,2015-10-26,"Viacom settles with Google, tips further collaboration"
150,2014-02-26,Google unveils fully functional self-driving car prototype
151,2015-04-23,G Suite has 6M paying businesses
152,2015-05-22,Google's sales chief leaving for SoftBank; ad prices stabilizing
153,2015-01-30,"WSJ: Google testing Buy button, mulling Amazon Prime-like program"
154,2015-07-17,BlackBerry +4.3%; BES12 gets Google's seal of approval
155,2015-05-14,Google's mobile search ad share slips; new video ad services launched
156,2014-10-14,"Unity to raise $1.3B in IPO, prices 25M shares above range at $52"
157,2015-04-02,Reports: Google to make ad product chief YouTube CEO
158,2014-02-13,"News publishers jump into Apple fray, criticizing App Store terms"
159,2020-07-01,Google begins selling Glass to music subs; Himax rallies
160,2013-10-12,"Google's pop-up store opens in New York, deal with Best Buy Canada for in-store shops announced, Pixel available"
161,2014-12-05,Google (NASDAQ:GOOG) unveils a major overhaul to Google Maps and Earth (live blog)....
162,2014-04-17,"Amazon gains, eBay falls on ChannelAdvisor numbers; Google data mixed"
163,2013-09-25,Tech war escalates as Washington unveils 'Clean Network' program
164,2014-04-12,"Reports: Google close to ~$1B Skybox deal, Tango tablet on tap"
165,2014-03-20,Microsoft and Google to sue to release information on NSA surveillance involvement
166,2014-04-03,"Google shows off Android L, Wear, and Auto at I/O"
167,2013-10-04,Google targets brand advertisers with major display ad pricing change
168,2014-01-30,J.P. Morgan shores up top picks in online ad rebound
169,2013-10-30,Google reportedly went after Snapchat too; Loeb discloses stake
170,2013-08-29,"Google Glass display output ramping, Microsoft clone might arrive"
171,2015-10-06,Angie's List now 12% above IAC's offer price; HomeAdvisor partners with
172,2013-10-17,Google/Alphabet adds Chicago and L.A. to list of potential Fiber cities
173,2020-04-14,Microsoft reportedly testing Google Glass rival; Instagram coming to WP
174,2013-08-02,"WebMD gains; RBC calls company ""future Google of health care"""
175,2020-05-28,Twitch cementing dominance with new record quarter - report
176,2013-06-22,Alphabet upgraded on recovery positioning
177,2013-04-09,"Fitbit outperforms after CNBC column highlights Google data, provides favorable Citron quote"
178,2020-05-13,Alphabet target cut on weaker ad environment
179,2012-12-14,More on Google: The WSJ reports the FTC's investigation into Google's (NASDAQ:GOOG) search...
180,2012-08-08,"Google algorithm change dings eBay traffic, could force it to buy more ads"
181,2020-03-03,"Engineer at heart of Uber, Waymo spat pleads guilty"
182,2009-02-12,More Google (NASDAQ:GOOG) news: 1) Google is harshly criticizing a proposed German law that...
183,2012-04-11,"Google+'s (NASDAQ:GOOG) low user engagement rates may not bother much, suggests Matt..."
184,2020-04-21,"Google roundup: EU investigation, floating barges, self-driving cars, Nexus 5"
185,2020-05-21,"Google (NASDAQ:GOOG) has officially unveiled Google Drive (previous), and initial reviews are..."
186,2013-05-13,"Alphabet's Chronicle is imploding, losing execs - report"
187,2013-12-31,Quick take on Google/Motorola: Expect Google to start shopping Motorola's phone and set-top box...
188,2011-05-27,"Apple back above $600B in market cap, Exxon hangs on vs. Google for no. 2"
189,2020-02-13,"Google launches anti-aging firm, takes YouTube offline, preps Nexus 5"
190,2020-05-20,Alphabet raised on positive cloud checks
191,2019-01-07,GoodRx Holdings readies $100M IPO
192,2020-01-14,Here's where Yahoo and Google differ. Yahoo is disappointed Google won't go to court. ...
193,2020-01-03,Samsung slump sees Huawei become world's biggest smartphone vendor
195,2019-12-20,YouTube limits on children's videos starting soon
196,2012-04-18,"Some post-earnings Google (GOOG +2.9%) news: 1) Google has bought Sparrow, developer of popular..."
197,2020-07-13,"According to WSJ's sources, the Google phone is the real deal. As soon as next year, will..."
198,2010-01-21,"Google (NASDAQ:GOOG) announces Google Buzz, social-networking add-ins to its Gmail product -..."
199,2020-05-15,House's tech antitrust hearing reset for Wednesday
