,Unnamed: 0,title,Date,comment
0,0,,"MSFTThursday, October 1st 2020",Datadog price target lifted on Microsoft partnership tailwind
1,0,,"MSFTMonday, September 21st 2020",Analog Devices teams with Microsoft on 3D product series
2,0,,"MSFTTuesday, September 8th 2020","Microsoft Teams, NFL deepen gameday partnership"
3,0,,"VIX, XLK, AAPL, AVGO, FTNT, MSFT, XLESaturday, September 5th 2020",Microsoft teams up with BP to achieve net zero carbon goals and sustainable future
4,0,,"MSFTFriday, September 11th 2020",Microsoft targets raised ahead of earnings
5,0,,"MSFTTuesday, July 21st 2020","Amazon, Microsoft cloud revenue threatened by tightened budgets"
6,0,,"MSFT, CTXSTuesday, July 14th 2020",Cadence collaborates with TSMC and Microsoft
7,0,,"BDNCE, GOOG, GOOGL, FB, PINS, SNAP, MSFTFriday, July 31st 2020","Cognizant acquires New Signature, launches Microsoft-focused unit"
8,0,,"WORK, MSFTWednesday, July 22nd 2020",Microsoft pauses global Facebook ads - Axios
9,0,,,
10,0,,"MSFTWednesday, June 17th 2020",Microsoft tried to sell facial recognition to DEA - ACLU
11,0,,"MSFTWednesday, April 29th 2020",Microsoft eyes Softomotive acquisition - Bloomberg
12,0,,"MSFTTuesday, April 28th 2020",Bank stocks and Microsoft helps Dow to end ~160 points higher
13,0,,"MSFTMonday, May 4th 2020",Microsoft reveals unpatched Windows bug
14,0,,"MSFTWednesday, May 6th 2020",Riverdale Oil & Gas adds Microsoft's Alka Badshah to advisory board
15,0,,"MSFTTuesday, April 7th 2020",Judge pauses Microsoft's JEDI contract
16,0,,"MSFTWednesday, January 29th 2020",Microsoft patching major security flaw
17,0,,"MSFTWednesday, February 26th 2020",Microsoft will invest $1.1B in Mexico
18,0,,"MSFT, SNEThursday, April 30th 2020","Microsoft EPS beats by $0.13, beats on revenue"
19,0,,"MSFTWednesday, January 22nd 2020","""Minimal"" COVID-19 impact - Microsoft gains after FQ3 beats"
20,0,,"MSFT, BT, NOKTuesday, November 5th 2019",Microsoft exposed 250M customer support records
21,0,,"FB, MSFTTuesday, November 19th 2019",Microsoft sues to block SynKloud cloud suit
22,0,,"MSFTThursday, September 19th 2019","Microsoft, Disney make cloud deal"
23,0,,"MSFTWednesday, December 4th 2019",Microsoft not seeing software softness - Mizuho
24,0,,"MSFTThursday, October 24th 2019",Microsoft Japan trialed 4-day workweek
25,0,,"MSFTMonday, July 29th 2019","Novartis, Microsoft team for AI drug development"
26,0,,"ASAN, PLTR, SMAR, TEAMWednesday, September 30th 2020","3G Capital trims position in Fox, Microsoft, exits Urban Outfitters"
27,0,,"T, MSFTTuesday, November 26th 2019",Wedbush boosts Microsoft on 'blowout quarter'
0,0,,"MSFTWednesday, August 14th 2019",Microsoft's Chromium Edge opens for testing
1,0,,"MSFTTuesday, April 23rd 2019",Microsoft Q1: What to watch
2,0,,"MSFTTuesday, April 23rd 2019",Microsoft Q1: What to watch
3,0,,"MSFT, AMDMonday, June 10th 2019",Microsoft declares $0.46 dividend
4,0,,"MSFT, INTC, HPQ, DELLThursday, July 11th 2019","Microsoft, Mastercard team for identity management"
5,0,,"MSFTTuesday, January 29th 2019",EU approves Microsoft's GitHub buy
6,0,,"MSFT, FXCOF, HNHPDMonday, March 11th 2019",Microsoft and Grab form strategic partnership
7,0,,"MSFTFriday, June 1st 2018",Microsoft declares $0.46 dividend
8,0,,"MSFTFriday, October 12th 2018",Spotify joins Microsoft's Xbox Game Bar
9,0,,"WMT, MSFT, AMZNTuesday, July 17th 2018",Microsoft guides Q2; Wedbush out positive
10,0,,"GOOG, GOOGL, MSFTWednesday, May 30th 2018",Teladoc expands collaboration with Microsoft
11,0,,"MSFTMonday, November 12th 2018",Mellanox +4% on report of Microsoft acquisition interest
12,0,,,
13,0,,,
14,0,,"VWAGY, MSFTFriday, September 28th 2018",Microsoft could reveal new Surface models today
15,0,,"MSFTTuesday, December 4th 2018",Microsoft launches the Surface Pro 6 (updates)
16,0,,,
17,0,,,
18,0,,,
0,0,,"MSFTThursday, October 1st 2020",Datadog price target lifted on Microsoft partnership tailwind
1,0,,"MSFTThursday, July 12th 2018",Nomura initiates Microsoft with 11% upside
2,0,,"VMW, MSFTFriday, June 1st 2018","Analyst upgrades Microsoft, raises target to 17% upside"
3,0,,"NTAP, MSFTTuesday, October 3rd 2017",Microsoft launches Azure Event Grid
4,0,,"MSFTTuesday, July 11th 2017","Mapping startup partners with Microsoft, Intel, and SoftBank"
5,0,,"MSFTTuesday, October 17th 2017",Microsoft overtakes Apple as most valuable U.S. company
6,0,,,
7,0,,"MSFTThursday, February 1st 2018",Analysts raise Microsoft price targets after earnings
8,0,,"MSFT, AMZNTuesday, August 14th 2018",Microsoft focused on LinkedIn revenue
9,0,,"MSFTWednesday, January 3rd 2018","Nasdaq, Microsoft bring U.S. equity market data to the masses"
10,0,,"MSFTTuesday, January 17th 2017",Coming soon: Microsoft's $319 Cortana-powered thermostat
11,0,,"CMCMThursday, December 14th 2017",Microsoft protected from WannaCry lawsuits?
12,0,,"HDPMonday, June 18th 2018","Microsoft announces two datacenter regions in Norway, Equinor agreement"
13,0,,"MSFTWednesday, September 27th 2017","EY, Microsoft to collaborate on automotive data analysis solution"
14,0,,"MSFTThursday, May 19th 2016",Microsoft disagrees with Consumer Reports decision on Surface devices
15,0,,"HOOT, FCN, PLTRThursday, September 24th 2020",Microsoft confirms acquiring cloud monitoring startup
16,0,,"MSFTFriday, March 2nd 2018",Microsoft Surface keynote expected on October 31
17,0,,"MSFTThursday, July 20th 2017","Microsoft pushes into healthcare with new Azure tool, cloud blueprints"
18,0,,"MSFTMonday, May 7th 2018",Microsoft confirms reorg of sales force toward cloud
19,0,,"SSNLF, GOOG, GOOGL, MSFT, AMZN, AAPLMonday, May 8th 2017","Microsoft reports Q4 beats with Azure +89%, Surface +35%"
20,0,,"MSFTThursday, April 27th 2017",Barclays increases Microsoft's price target ahead of Q2 earnings
21,0,,"MSFTTuesday, January 23rd 2018",Microsoft to buy Adallom for $320M
22,0,,"MSFTWednesday, July 12th 2017",Microsoft sets E3 briefing for June 11
23,0,,"MSFTThursday, October 26th 2017",Microsoft escalating emphasis on cloud services in China
24,0,,"ORCL, BDNCE, MSFTMonday, September 14th 2020",Microsoft internal memo pushes back on Consumer Reports decision
25,0,,,
26,0,,"MSFT, CRM, NTuesday, May 5th 2015","Microsoft launches quantum programming language, commits $50M to AI drive"
27,0,,"ROKU, CMCSA, AMZNMonday, September 21st 2020","""Not your father's Microsoft"" to be cloud provider for Halliburton E&P efforts"
28,0,,"IBM, MSFTMonday, September 18th 2017","Microsoft releases Teams roadmap, beta version of Azure Container Service"
29,0,,"MSFTTuesday, September 20th 2016",Microsoft cancels premium Outlook service to bundle features into Office 365
30,0,,"MSFTTuesday, November 14th 2017",More on Microsoft's pursuit of Minecraft
31,0,,"MSFTTuesday, July 19th 2016","Microsoft 10-K: 2,850 additional jobs eliminated"
32,0,,"MSFTFriday, July 22nd 2016",Microsoft offers EU concessions over LinkedIn bid
33,0,,"SNETuesday, September 15th 2020","Microsoft, Xiaomi enter 'long-term partnership'"
34,0,,"SNETuesday, September 15th 2020","Microsoft, Xiaomi enter 'long-term partnership'"
35,0,,"MSFT, SNAPThursday, June 1st 2017",Microsoft acquires AI-scheduling platform Genee
36,0,,,
37,0,,"MSFTFriday, October 23rd 2015","Microsoft EPS in-line, beats on revenue"
38,0,,"MSFTFriday, October 23rd 2015","Microsoft EPS in-line, beats on revenue"
39,0,,,
40,0,,"AMZN, MSFTMonday, October 3rd 2016",Nomura: Mulally to be Microsoft's next CEO
41,0,,"AABA, MSFT, GOOG, GOOGLWednesday, October 5th 2016","Microsoft, Volvo disclose driverless car deal"
42,0,,"MSFTThursday, April 14th 2016",Microsoft to miss self-imposed Windows 10 device deadline
43,0,,"MSFTFriday, November 21st 2014","Microsoft roundup: Aorato, developer tools, Xbox One"
44,0,,"FB, AAPL, AMZN, GOOGL, NFLX, MSFT, SPYFriday, September 18th 2020","Microsoft guides cautiously again, lowers spending forecast"
45,0,,"VHCMonday, August 4th 2014",Microsoft strikes cloud storage deal with rival Dropbox
46,0,,,
47,0,,"OPESY, MSFTThursday, August 21st 2014",Denmark-based pump manufacturer selects NexTech AR's InfernoAR
48,0,,"MSFTWednesday, September 10th 2014","Bloomberg: Microsoft, Salesforce near cloud partnership deal"
49,0,,"MSFTTuesday, September 5th 2017",Microsoft investigated in China over anti-monopoly concerns
50,0,,,
51,0,,"MSFT, AMZN, GOOG, GOOGLMonday, August 14th 2017",Microsoft reassigns Larson-Green to make room for Elop
52,0,,"RVBDThursday, February 27th 2014","Microsoft removes ""interim"" from CIO's job title"
53,0,,,
