,Date,Open,High,Low,Close,Volume,companies,Mean_Price
0,2010-09-30,19.5,19.67,19.3,19.4,61262700,MSFT,19.485
1,2010-10-01,19.62,19.66,19.25,19.32,62672300,MSFT,19.455
2,2010-10-04,18.98,19.01,18.84,18.94,98143400,MSFT,18.925
3,2010-10-05,19.06,19.37,18.94,19.29,78152900,MSFT,19.155
4,2010-10-06,19.27,19.44,19.12,19.36,50489700,MSFT,19.28
5,2010-10-07,19.51,19.61,19.24,19.43,50096100,MSFT,19.424999999999997
6,2010-10-08,19.51,19.53,19.31,19.47,41327800,MSFT,19.42
7,2010-10-11,19.6,19.6,19.41,19.48,27587800,MSFT,19.505000000000003
8,2010-10-12,19.53,19.75,19.36,19.67,50141500,MSFT,19.555
9,2010-10-13,19.82,20.23,19.72,20.08,75336500,MSFT,19.975
10,2010-10-14,20.04,20.08,19.81,19.99,51949100,MSFT,19.945
11,2010-10-15,20.09,20.24,19.99,20.23,68954800,MSFT,20.115
12,2010-10-18,20.27,20.56,20.16,20.46,48330500,MSFT,20.36
13,2010-10-19,20.02,20.1,19.77,19.89,66150900,MSFT,19.935000000000002
14,2010-10-20,20.01,20.12,19.89,20.05,56283600,MSFT,20.005000000000003
15,2010-10-21,20.12,20.23,19.85,20.14,50032400,MSFT,20.04
16,2010-10-22,20.22,20.23,20.02,20.11,25837900,MSFT,20.125
17,2010-10-25,20.0,20.08,19.94,19.96,50912400,MSFT,20.009999999999998
18,2010-10-26,19.9,20.58,19.85,20.52,69304200,MSFT,20.215
19,2010-10-27,20.43,20.69,20.3,20.64,64805500,MSFT,20.495
20,2010-10-28,20.77,20.9,20.54,20.82,80730300,MSFT,20.72
21,2010-10-29,21.51,21.55,20.98,21.13,114193200,MSFT,21.265
22,2010-11-01,21.3,21.57,21.15,21.35,61912100,MSFT,21.36
23,2010-11-02,21.44,21.72,21.41,21.7,54402100,MSFT,21.564999999999998
24,2010-11-03,21.76,21.78,21.36,21.42,110255300,MSFT,21.57
25,2010-11-04,21.72,21.73,21.4,21.5,93599300,MSFT,21.564999999999998
26,2010-11-05,21.53,21.54,21.02,21.27,110953700,MSFT,21.28
27,2010-11-08,21.14,22.87,21.06,21.24,71670800,MSFT,21.965
28,2010-11-09,21.24,21.48,21.16,21.35,58538600,MSFT,21.32
29,2010-11-10,21.4,21.46,21.24,21.34,52277300,MSFT,21.35
30,2010-11-11,21.14,21.17,20.82,21.14,62073100,MSFT,20.995
31,2010-11-12,20.97,21.01,20.68,20.81,64962200,MSFT,20.845
32,2010-11-15,20.86,21.0,20.73,20.76,51794600,MSFT,20.865000000000002
33,2010-11-16,20.76,20.76,20.45,20.57,65339200,MSFT,20.605
34,2010-11-17,20.65,20.65,20.37,20.38,58299700,MSFT,20.509999999999998
35,2010-11-18,20.49,20.79,20.42,20.6,59514000,MSFT,20.605
36,2010-11-19,20.57,20.59,20.41,20.48,52423200,MSFT,20.5
37,2010-11-22,20.45,20.52,20.28,20.51,53350500,MSFT,20.4
38,2010-11-23,20.38,20.41,20.0,20.02,69742500,MSFT,20.205
39,2010-11-24,20.09,20.3,20.06,20.22,56825900,MSFT,20.18
40,2010-11-26,20.1,20.26,20.06,20.13,21356500,MSFT,20.16
41,2010-11-29,20.08,20.26,19.87,20.18,56603600,MSFT,20.065
42,2010-11-30,19.97,20.3,19.93,20.14,75282100,MSFT,20.115000000000002
43,2010-12-01,20.38,20.93,20.38,20.76,74123500,MSFT,20.655
44,2010-12-02,20.92,21.51,20.89,21.44,91759200,MSFT,21.200000000000003
45,2010-12-03,21.37,21.57,21.35,21.54,52622000,MSFT,21.46
46,2010-12-06,21.47,21.51,21.33,21.4,36264200,MSFT,21.42
47,2010-12-07,21.59,21.63,21.4,21.42,57860500,MSFT,21.515
48,2010-12-08,21.39,21.71,21.36,21.71,41666800,MSFT,21.535
49,2010-12-09,21.75,21.79,21.53,21.59,47148300,MSFT,21.66
50,2010-12-10,21.67,21.84,21.61,21.79,37625800,MSFT,21.725
51,2010-12-13,21.74,21.88,21.66,21.72,47943900,MSFT,21.77
52,2010-12-14,21.77,22.12,21.73,22.02,64070500,MSFT,21.925
53,2010-12-15,21.95,22.31,21.95,22.2,69634200,MSFT,22.13
54,2010-12-16,22.13,22.31,22.05,22.31,57680200,MSFT,22.18
55,2010-12-17,22.26,22.39,22.12,22.24,87456500,MSFT,22.255000000000003
56,2010-12-20,22.28,22.31,22.07,22.17,52811000,MSFT,22.189999999999998
57,2010-12-21,22.2,22.43,22.13,22.38,38153000,MSFT,22.28
58,2010-12-22,22.33,22.64,22.3,22.47,42252300,MSFT,22.47
59,2010-12-23,22.3,22.58,22.29,22.56,24902500,MSFT,22.435
60,2010-12-27,22.42,22.48,22.22,22.38,21652800,MSFT,22.35
61,2010-12-28,22.3,22.46,22.29,22.33,23042200,MSFT,22.375
62,2010-12-29,22.27,22.42,22.22,22.3,19502500,MSFT,22.32
63,2010-12-30,22.26,22.32,22.14,22.2,20786100,MSFT,22.23
64,2010-12-31,22.16,22.26,22.03,22.25,24752000,MSFT,22.145000000000003
65,2011-01-03,22.36,22.46,22.26,22.3,53443800,MSFT,22.36
66,2011-01-04,22.27,22.46,22.2,22.39,54405600,MSFT,22.33
67,2011-01-05,22.24,22.33,22.14,22.32,58998700,MSFT,22.235
68,2011-01-06,22.35,23.0,22.21,22.97,88026300,MSFT,22.605
69,2011-01-07,22.83,22.91,22.52,22.8,73762000,MSFT,22.715
70,2011-01-10,22.53,22.64,22.35,22.5,57573600,MSFT,22.495
71,2011-01-11,22.48,22.52,22.36,22.41,50298900,MSFT,22.439999999999998
