epoch,loss,val_loss
0,0.0002684683713596314,0.00013140270311851054
1,3.547904998413287e-05,0.00010896984167629853
2,3.7688012525904924e-05,0.00012046744086546823
3,3.308578743599355e-05,8.835450717015192e-05
4,3.1811290682526305e-05,8.676568540977314e-05
5,3.4623353712959215e-05,8.19119086372666e-05
6,2.6666466510505415e-05,8.023349801078439e-05
7,3.275499329902232e-05,0.00010586852295091376
8,2.766707075352315e-05,8.135753887472674e-05
9,3.268982618465088e-05,7.291098881978542e-05
10,2.4159642634913325e-05,9.113516716752201e-05
11,2.9368227842496708e-05,0.0001210852205986157
12,2.6591116693452932e-05,9.892790694721043e-05
13,2.3730510292807594e-05,6.903095345478505e-05
14,2.2691889171255752e-05,8.903208072297275e-05
15,2.5228571757907048e-05,7.719713903497905e-05
16,2.3174952730187215e-05,6.720896635670215e-05
17,2.015081190620549e-05,6.879670399939641e-05
18,2.0538975149975158e-05,9.953594417311251e-05
19,2.1668940462404862e-05,7.925779209472239e-05
20,2.2652764528174885e-05,6.0984726587776095e-05
21,1.7011494492180645e-05,5.232043258729391e-05
22,1.6049551049945876e-05,5.650768434861675e-05
23,1.7033402400556952e-05,8.629594231024384e-05
24,1.5690113286837004e-05,4.901878128293902e-05
25,1.386326130159432e-05,5.148433046997525e-05
26,1.542306927149184e-05,8.137749682646245e-05
27,1.549249282106757e-05,7.588572043459862e-05
28,1.484831500420114e-05,0.00011374347377568483
29,1.9466166122583672e-05,4.300364525988698e-05
30,1.3117795788275544e-05,4.2765354010043666e-05
31,1.4192943126545288e-05,4.762213575304486e-05
32,1.640849222894758e-05,0.00012076034909114242
33,1.5085770428413525e-05,6.434737588278949e-05
34,1.3707449397770688e-05,3.930716047761962e-05
35,1.0848450983758084e-05,5.965091258985922e-05
36,1.0743570783233736e-05,0.00011094618093920872
37,1.1372119843144901e-05,4.498208363656886e-05
38,1.0275247404933907e-05,5.762396540376358e-05
39,1.1094464753114153e-05,4.6961478801677004e-05
40,1.5370700566563755e-05,7.197720697149634e-05
41,1.7217091226484627e-05,4.087353227077983e-05
42,1.1727280252671335e-05,3.757877857424319e-05
43,9.484650036029052e-06,3.8015572499716654e-05
44,9.42732731346041e-06,3.857827323372476e-05
45,1.0418420970381703e-05,7.572407776024193e-05
46,1.1079246178269386e-05,4.3799816921819e-05
47,1.320136016147444e-05,8.579132554586977e-05
48,1.0986546840285882e-05,3.91833164030686e-05
49,1.1316447853459977e-05,3.800280319410376e-05
